,ipnr17,v297_dk,v298_dk,v299_dk,alder,civilstand,børn,urbanisering,uddannelse,uddannelse_partner,uddannelse_mor,uddannelse_far,isco_fn,isco_p_fn,indkomst_kvint,parti,frivillig,folkekirken
0,FU489319,Secondary education,350.000<,Male,42.0,Gift eller reg. partnerskab,5 børn,,Erhvervsfaglige uddannelser,Mellemlange vid. udd,Mellemlange vid. udd,Mellemlange vid. udd,4,4,5.0,Det Konservative Folkeparti,Ja,ja
1,CZ218266,Secondary education,250.000-350.000,Male,33.0,Papirløst partnerskab,2 børn,Mellemstore byer,Erhvervsfaglige uddannelser,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,2,3,4.0,Dansk Folkeparti,Nej,ja
2,FU341483,Secondary education,350.000<,Male,63.0,Papirløst partnerskab,Ingen børn,,Mellemlange vid. udd,Mellemlange vid. udd,Grundskole og gym.,Grundskole og gym.,4,4,5.0,Det Konservative Folkeparti,Nej,ja
3,CZ442236,Secondary education,<150.0000,Female,21.0,Papirløst partnerskab,Ingen børn,De 3 store provinsbyer,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,1,3,1.0,,Nej,ja
4,FU738103,"Long-cycle tertiary eduation, Ph.D",350.000<,Male,60.0,Gift eller reg. partnerskab,2 børn,,Lang vid. udd,Lang vid. udd,Grundskole og gym.,Erhvervsfaglige uddannelser,4,4,5.0,Det Radikale Venstre,Ja,nej
5,CZ885717,Short-cycle tertiary eduation,<150.0000,Male,67.0,Gift eller reg. partnerskab,3 børn,De 3 store provinsbyer,Korte vid. udd,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,2,2,2.0,Socialdemokraterne,Ja,ja
6,FU885526,Secondary education,350.000<,Male,47.0,Gift eller reg. partnerskab,2 børn,,Korte vid. udd,Mellemlange vid. udd,Erhvervsfaglige uddannelser,Korte vid. udd,4,4,4.0,Dansk Folkeparti,Ja,ja
7,CZ714356,Elementary school or unknown,<150.0000,Female,57.0,Gift eller reg. partnerskab,3 børn,Større provinsbyer,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,3,4.0,Dansk Folkeparti,Nej,ja
8,FU581691,Secondary education,<150.0000,Female,20.0,Papirløst partnerskab,Ingen børn,,Grundskole og gym.,Grundskole og gym.,Erhvervsfaglige uddannelser,Erhvervsfaglige uddannelser,2,2,1.0,Enhedslisten m.fl.,Ja,ja
9,FU374646,Secondary education,150.000-250.000,Male,57.0,Gift eller reg. partnerskab,Ingen børn,,Grundskole og gym.,Erhvervsfaglige uddannelser,Grundskole og gym.,Grundskole og gym.,2,2,3.0,Dansk Folkeparti,Nej,ja
