,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
0,110,Male,69,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Don't know,
1,705,Male,60,DK05,Det Konservative Folkeparti - Conservative People's Party,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,
2,1327,Male,18,DK02,Not applicable,Folkeskole 9.-10. klasse,No answer,
3,3760,Male,16,DK04,Not applicable,Folkeskole 9.-10. klasse,Weekly,200.0
4,4658,Female,62,DK02,Refusal,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,
5,5816,Male,44,DK01,SF Socialistisk Folkeparti - Socialist People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,37000.0
6,7251,Female,43,DK02,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,22000.0
7,7887,Male,60,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,36000.0
8,9607,Female,54,DK04,Alternativet - The Alternative,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32000.0
9,11123,Male,44,DK05,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,9000.0
10,11688,Female,66,DK05,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
11,12355,Male,55,DK03,Socialdemokratiet - The Social democrats,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,36000.0
12,16357,Male,27,DK03,Dansk Folkeparti - Danish People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000.0
13,17504,Female,34,DK03,Dansk Folkeparti - Danish People's Party,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
14,19970,Female,52,DK04,Liberal Alliance - Liberal Alliance,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,85000.0
15,20724,Male,60,DK05,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000.0
16,22248,Female,68,DK01,Socialdemokratiet - The Social democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
17,24928,Male,53,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,50000.0
18,27000,Male,62,DK04,"Venstre, Danmarks Liberale Parti - The Liberal Party","Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,90000.0
19,27211,Male,49,DK02,Kristendemokraterne - Christian Democrats,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,26000.0
