idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,prtvtddk,gndr,agea,edlvddk,infqbst,grspnum,region
110,DK,8,8,10,10,7,8,5,8,Socialdemokratiet - The Social democrats,Male,69,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",,,Midtjylland
705,DK,5,6,8,9,3,3,4,1,Det Konservative Folkeparti - Conservative People's Party,Male,60,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,,Nordjylland
1327,DK,5,7,5,2,5,6,,,,Male,18,Folkeskole 9.-10. klasse,,,Sjælland
3760,DK,7,5,9,9,5,5,5,8,,Male,16,Folkeskole 9.-10. klasse,Weekly,200,Midtjylland
4658,DK,8,8,8,8,6,6,3,,,Female,62,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,,Sjælland
5816,DK,7,5,6,6,4,6,3,7,SF Socialistisk Folkeparti - Socialist People's Party,Male,44,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,37000,Hovedstaden
7251,DK,5,5,6,8,5,4,7,6,Dansk Folkeparti - Danish People's Party,Female,43,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,22000,Sjælland
7887,DK,8,8,9,8,8,8,6,6,Socialdemokratiet - The Social democrats,Male,60,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,36000,Midtjylland
9607,DK,9,9,10,9,7,7,7,7,Alternativet - The Alternative,Female,54,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,32000,Midtjylland
11123,DK,7,4,9,8,3,6,5,7,Socialdemokratiet - The Social democrats,Male,44,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,9000,Nordjylland
11688,DK,5,10,7,10,7,7,4,4,Socialdemokratiet - The Social democrats,Female,66,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
12355,DK,5,5,6,8,4,5,,4,Socialdemokratiet - The Social democrats,Male,55,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,36000,Syddanmark
16357,DK,5,3,3,4,4,4,4,5,Dansk Folkeparti - Danish People's Party,Male,27,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000,Syddanmark
17504,DK,4,5,6,8,5,5,8,8,Dansk Folkeparti - Danish People's Party,Female,34,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Syddanmark
19970,DK,9,7,9,9,8,8,8,8,Liberal Alliance - Liberal Alliance,Female,52,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,85000,Midtjylland
20724,DK,5,5,6,7,4,4,4,6,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,60,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000,Nordjylland
22248,DK,9,7,9,9,5,7,5,6,Socialdemokratiet - The Social democrats,Female,68,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Hovedstaden
24928,DK,8,6,3,3,5,5,5,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,53,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,50000,Syddanmark
27000,DK,5,8,9,9,7,6,6,8,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,62,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,90000,Midtjylland
27211,DK,7,7,9,8,7,6,6,7,Kristendemokraterne - Christian Democrats,Male,49,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,26000,Sjælland
27650,DK,7,5,5,5,5,5,4,5,,Male,51,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,7000,Hovedstaden
28202,DK,7,4,6,3,6,3,5,5,Det Radikale Venstre - The Radical Liberal Party,Male,28,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,28000,Syddanmark
29156,DK,8,9,10,9,6,6,8,9,Dansk Folkeparti - Danish People's Party,Male,86,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Nordjylland
29471,DK,8,9,9,9,7,7,6,9,Det Radikale Venstre - The Radical Liberal Party,Male,52,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,40000,Syddanmark
31317,DK,6,5,7,8,5,5,4,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,70,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Nordjylland
32191,DK,8,5,8,6,3,3,3,5,Socialdemokratiet - The Social democrats,Female,62,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,34500,Midtjylland
33174,DK,9,9,9,9,8,8,8,9,Alternativet - The Alternative,Male,69,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,,Sjælland
33307,DK,7,7,8,8,4,4,3,2,,Male,27,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Monthly,,Midtjylland
34031,DK,8,7,9,9,6,6,7,9,Det Konservative Folkeparti - Conservative People's Party,Male,31,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",,,Syddanmark
34446,DK,8,7,9,10,6,6,8,9,"Venstre, Danmarks Liberale Parti - The Liberal Party",Female,43,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,25000,Sjælland
34955,DK,6,5,6,6,5,5,6,6,Socialdemokratiet - The Social democrats,Female,55,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,33000,Midtjylland
38221,DK,7,7,9,9,6,6,6,8,Socialdemokratiet - The Social democrats,Female,36,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,24000,Sjælland
38848,DK,9,9,10,10,9,8,5,8,Socialdemokratiet - The Social democrats,Female,39,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,21000,Sjælland
38971,DK,6,8,6,4,8,8,,,Dansk Folkeparti - Danish People's Party,Male,38,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,44000,Sjælland
39619,DK,8,8,7,7,5,8,5,8,Socialdemokratiet - The Social democrats,Male,76,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,,Hovedstaden
40317,DK,6,3,6,8,2,3,4,6,Det Konservative Folkeparti - Conservative People's Party,Male,29,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,6000,Sjælland
40476,DK,7,5,9,9,5,3,7,8,Other,Female,20,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",,,Sjælland
42274,DK,8,8,8,9,7,7,7,7,,Female,63,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,38500,Midtjylland
44490,DK,9,8,9,10,6,6,8,5,Det Radikale Venstre - The Radical Liberal Party,Female,36,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,42000,Midtjylland
46190,DK,6,3,10,7,3,3,2,5,"Venstre, Danmarks Liberale Parti - The Liberal Party",Male,51,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,37000,Hovedstaden
46404,DK,8,8,9,9,7,7,6,8,,Male,53,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,92000,Nordjylland
46606,DK,8,8,9,9,5,6,4,8,Alternativet - The Alternative,Female,25,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,10000,Midtjylland
47316,DK,7,10,10,10,6,6,7,10,,Female,20,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",,,Midtjylland
48773,DK,9,9,8,8,7,7,6,6,Socialdemokratiet - The Social democrats,Female,67,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",,,Sjælland
49450,DK,8,6,9,9,5,5,7,5,SF Socialistisk Folkeparti - Socialist People's Party,Male,31,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,24000,Sjælland
