idno,cntry,ppltrst,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
110,DK,8,8,Complete trust,Complete trust,7,8,5,8
705,DK,5,6,8,9,3,3,4,1
1327,DK,5,7,5,2,5,6,Don't know,Don't know
3760,DK,7,5,9,9,5,5,5,8
4658,DK,8,8,8,8,6,6,3,Don't know
5816,DK,7,5,6,6,4,6,3,7
7251,DK,5,5,6,8,5,4,7,6
7887,DK,8,8,9,8,8,8,6,6
9607,DK,9,9,Complete trust,9,7,7,7,7
11123,DK,7,4,9,8,3,6,5,7
11688,DK,5,Complete trust,7,Complete trust,7,7,4,4
12355,DK,5,5,6,8,4,5,Don't know,4
16357,DK,5,3,3,4,4,4,4,5
17504,DK,4,5,6,8,5,5,8,8
19970,DK,9,7,9,9,8,8,8,8
20724,DK,5,5,6,7,4,4,4,6
22248,DK,9,7,9,9,5,7,5,6
24928,DK,8,6,3,3,5,5,5,5
27000,DK,5,8,9,9,7,6,6,8
27211,DK,7,7,9,8,7,6,6,7
27650,DK,7,5,5,5,5,5,4,5
28202,DK,7,4,6,3,6,3,5,5
29156,DK,8,9,Complete trust,9,6,6,8,9
29471,DK,8,9,9,9,7,7,6,9
31317,DK,6,5,7,8,5,5,4,5
32191,DK,8,5,8,6,3,3,3,5
33174,DK,9,9,9,9,8,8,8,9
33307,DK,7,7,8,8,4,4,3,2
34031,DK,8,7,9,9,6,6,7,9
34446,DK,8,7,9,Complete trust,6,6,8,9
34955,DK,6,5,6,6,5,5,6,6
38221,DK,7,7,9,9,6,6,6,8
38848,DK,9,9,Complete trust,Complete trust,9,8,5,8
38971,DK,6,8,6,4,8,8,Don't know,Don't know
39619,DK,8,8,7,7,5,8,5,8
40317,DK,6,3,6,8,2,3,4,6
40476,DK,7,5,9,9,5,3,7,8
42274,DK,8,8,8,9,7,7,7,7
44490,DK,9,8,9,Complete trust,6,6,8,5
46190,DK,6,3,Complete trust,7,3,3,2,5
46404,DK,8,8,9,9,7,7,6,8
46606,DK,8,8,9,9,5,6,4,8
47316,DK,7,Complete trust,Complete trust,Complete trust,6,6,7,Complete trust
48773,DK,9,9,8,8,7,7,6,6
49450,DK,8,6,9,9,5,5,7,5
50526,DK,7,2,5,8,4,4,4,4
52559,DK,6,5,3,4,5,4,7,8
53574,DK,9,8,Complete trust,Complete trust,5,8,8,Complete trust
55481,DK,8,7,4,8,6,6,7,7
56690,DK,2,5,7,Complete trust,6,5,5,8
58403,DK,8,5,9,9,6,5,3,7
59410,DK,8,9,9,7,8,7,8,8
59841,DK,8,5,7,9,4,4,4,6
61995,DK,6,6,7,7,5,5,5,5
62055,DK,2,4,Complete trust,Complete trust,5,5,5,7
62232,DK,5,7,Complete trust,Complete trust,3,3,No trust at all,2
62601,DK,8,6,8,8,7,6,5,7
63738,DK,5,6,7,9,2,2,2,8
64617,DK,8,7,8,8,7,7,Don't know,Don't know
66405,DK,7,6,8,8,4,4,5,7
66500,DK,Most people can be trusted,5,Complete trust,Complete trust,5,2,Don't know,Don't know
66561,DK,8,8,9,9,8,8,8,8
68174,DK,7,4,Complete trust,Complete trust,6,Complete trust,No trust at all,6
68781,DK,9,6,9,8,3,4,6,8
69758,DK,3,2,4,No trust at all,5,5,3,7
75245,DK,7,4,2,3,3,3,3,6
75287,DK,8,5,9,9,6,6,Don't know,Don't know
75328,DK,8,9,Complete trust,9,6,7,7,8
75393,DK,9,8,7,Complete trust,7,5,7,8
75408,DK,7,8,9,9,6,5,7,9
75478,DK,7,7,5,8,5,6,7,7
75552,DK,6,6,Complete trust,7,5,5,5,7
75748,DK,7,6,7,7,6,6,6,7
75839,DK,3,5,8,8,5,5,3,1
75850,DK,9,8,9,9,8,8,8,9
75969,DK,6,3,5,3,5,5,Don't know,Don't know
75971,DK,7,8,9,9,7,7,6,6
76109,DK,5,8,Complete trust,Complete trust,6,6,2,6
76113,DK,6,4,6,9,2,2,3,5
76127,DK,7,6,6,7,5,5,7,7
76225,DK,7,8,9,8,7,6,8,9
76259,DK,5,7,7,8,6,7,7,7
76452,DK,7,5,7,9,4,4,6,9
76553,DK,6,5,7,7,3,3,4,6
76667,DK,8,Complete trust,8,Complete trust,6,7,8,8
76690,DK,9,6,9,8,6,Don't know,5,5
76768,DK,6,7,8,9,6,6,5,5
76803,DK,8,7,8,9,4,5,7,8
76848,DK,5,4,5,5,2,1,2,6
76854,DK,8,8,7,8,4,4,Refusal,5
76863,DK,4,8,Complete trust,Complete trust,6,4,9,9
76958,DK,6,6,6,8,4,4,1,6
76965,DK,8,5,8,8,4,4,4,4
77062,DK,9,Complete trust,Complete trust,Complete trust,9,9,5,Complete trust
77093,DK,8,Complete trust,Complete trust,Complete trust,7,7,7,9
77138,DK,8,6,8,7,4,4,4,3
77153,DK,8,6,8,Complete trust,8,Don't know,7,7
77167,DK,9,8,Complete trust,Complete trust,7,7,7,6
77198,DK,8,5,Complete trust,9,4,Don't know,No answer,7
77275,DK,8,7,8,8,6,6,6,6
77284,DK,7,4,7,5,5,4,3,3
77301,DK,9,8,9,9,6,6,6,8
